run,latency_s,tokens_per_s
1,9.817022,47.061
2,9.796107,44.712
3,9.801993,46.011
4,9.776383,44.086
5,9.861763,45.428
6,9.839892,47.460
7,9.809141,44.448
8,9.944113,51.287
9,10.183921,47.035
10,10.179903,42.535
